,StreamingPlatform,Year,Revenue_Billions
0,Netflix,2010,2.2
1,Netflix,2011,3.1
2,Netflix,2012,3.5
3,Netflix,2013,4.3
4,Netflix,2014,5.4
5,Netflix,2015,6.7
6,Netflix,2016,8.8
7,Netflix,2017,11.6
8,Netflix,2018,15.7
9,Netflix,2019,20.1
10,Netflix,2020,24.9
11,Netflix,2021,29.6
12,Netflix,2022,31.6
13,Hulu,2010,.2
14,Hulu,2011,.4
15,Hulu,2012,.6
16,Hulu,2013,1.1
17,Hulu,2014,1.6
18,Hulu,2015,2
19,Hulu,2016,2.4
20,Hulu,2017,3.1
21,Hulu,2018,3.5
22,Hulu,2019,4.5
23,Hulu,2020,7.2
24,Hulu,2021,9.6
25,Hulu,2022,10.7
26,Disney+,2019,0
27,Disney+,2020,2.8
28,Disney+,2021,5.2
29,Disney+,2022,7.4
30,PrimeVideo,2013,0
31,PrimeVideo,2014,2.7
32,PrimeVideo,2015,4.4
33,PrimeVideo,2016,6.3
34,PrimeVideo,2017,9.7
35,PrimeVideo,2018,14.1
36,PrimeVideo,2019,19.2
37,PrimeVideo,2020,25.2
38,PrimeVideo,2021,31.7
39,PrimeVideo,2022,35.2
